articul;category_path;name;txt;price;price_min;price_max;discount_formula;hide;recom;flag;to_xml;installation;gift_articul;gift_end_date;admin;p_tip;p_vid;p_svetovoj_potok;p_sila_toka;p_visota_plafona;p_srok_garantii;p_forma;p_koefficient_moschnosti;p_srok_sluzhbi;p_tip_rasseivatelya;p_ugol_osvescheniya;p_ekvivalentnaya_moschnost;p_cvet_plafona;p_cvet_osnovi;p_geometriya;p_visota;p_shirina;p_diametr;p_dlina;p_glubina;p_glubina_vrezki;p_diametr_vrezki;p_kolichestvo_lamp;p_moschnost_odnoj_lampi;p_tip_cokolya;p_stepen_vlagozaschiti;p_komplektnost_lampi;p_seriya;p_cvetovaya_temperatura;p_material_plafona;p_material_osnovi;p_srok_dostavki;p_proizvoditel
Nowodvorski_5058;"Внутреннее освещение/Бра и подсветки;Наружное освещение/Бра";"Nowodvorski 5058 Loft Chocolate";"<div class=""nowodvorski-product-detail""><div><label>Номер в каталоге:</label> <span>5058</span></div><div><label>Источник света:</label> <span>E27</span></div><div><label>Количество источников света:</label> <span>1</span></div><div><label>Мощность:</label> <span>60W</span></div><div><label>Источник света:</label> <span>не содержит</span></div><div><label>Степень защиты:</label> <span>IP20</span></div><div><label>Размеры :</label> <span> <span class=""deep"">45cm</span><br /> <span class=""fi"">34cm</span><br /> </span></div></div>";1374;1099;1374;;0;0;0;1;0;Nowodvorski_6895;00.00.0000;;"Бра настенные;Настенные светильники";"Бра и подсветки";;;;;;;;;;;;;;;;34;;45;;;1;;;IP20;;"Loft Chocolate";;Металл;Металл;"2-4 недели";"Nowodvorski (Польша)"
Nowodvorski_5063;"Внутреннее освещение/Бра и подсветки;Наружное освещение/Бра";"Nowodvorski 5063 Loft Zinc";"<div class=""nowodvorski-product-detail""><div><label>Номер в каталоге:</label> <span>5063</span></div><div><label>Источник света:</label> <span>E27</span></div><div><label>Количество источников света:</label> <span>1</span></div><div><label>Мощность:</label> <span>60W</span></div><div><label>Источник света:</label> <span>не содержит</span></div><div><label>Степень защиты:</label> <span>IP20</span></div><div><label>Размеры :</label> <span> <span class=""deep"">45cm</span><br /> <span class=""fi"">34cm</span><br /> </span></div></div>";1501;1201;1426;6%;0;0;0;1;45;;00.00.0000;;"Бра настенные;Настенные светильники";"Бра и подсветки";;;;;;;;;;;;;;;;34;;45;;;1;;;IP20;;"Loft Zinc";;Металл;Металл;"2-4 недели";"Nowodvorski (Польша)"
Nowodvorski_5127;"Внутреннее освещение/Бра и подсветки;Наружное освещение/Бра";"Nowodvorski 5127 Straihgt Graphite";"<div class=""nowodvorski-product-detail""><div><label>Номер в каталоге:</label> <span>5127</span></div><div><label>Источник света:</label> <span>T5</span></div><div><label>Количество источников света:</label> <span>1</span></div><div><label>Мощность:</label> <span>24W</span></div><div><label>Источник света:</label> <span>содержит</span></div><div><label>Степень защиты:</label> <span>IP20</span></div><div><label>Размеры :</label> <span> <span class=""width"">60cm</span><br /> <span class=""deep"">7cm</span><br /> </span></div></div>";946;757;899;6%ipN;0;0;0;1;0;Nowodvorski_6895;00.00.0000;;"Бра настенные;Настенные светильники";"Бра и подсветки";;;;;;;;;;;;;;;60;;60;7;;;1;;;IP20;;"Straihgt Graphite";;Металл;Металл;"2-4 недели";"Nowodvorski (Польша)"
Nowodvorski_5128;"Внутреннее освещение/Бра и подсветки;Наружное освещение/Бра";"Nowodvorski 5128 Straihgt White";"<div class=""nowodvorski-product-detail""><div><label>Номер в каталоге:</label> <span>5128</span></div><div><label>Источник света:</label> <span>T5</span></div><div><label>Количество источников света:</label> <span>1</span></div><div><label>Мощность:</label> <span>24W</span></div><div><label>Источник света:</label> <span>содержит</span></div><div><label>Степень защиты:</label> <span>IP20</span></div><div><label>Размеры :</label> <span> <span class=""width"">60cm</span><br /> <span class=""deep"">7cm</span><br /> </span></div></div>";946;757;946;7%N;0;0;0;1;0;;00.00.0000;;"Бра настенные;Настенные светильники";"Бра и подсветки";;;;;;;;;;;;;;;60;;60;7;;;1;;;IP20;;"Straihgt White";;Металл;Металл;"2-4 недели";"Nowodvorski (Польша)"
Nowodvorski_5130;"Внутреннее освещение/Бра и подсветки;Наружное освещение/Бра";"Nowodvorski 5130 Straihgt Silver";"<div class=""nowodvorski-product-detail""><div><label>Номер в каталоге:</label> <span>5130</span></div><div><label>Источник света:</label> <span>T5</span></div><div><label>Количество источников света:</label> <span>1</span></div><div><label>Мощность:</label> <span>24W</span></div><div><label>Источник света:</label> <span>содержит</span></div><div><label>Степень защиты:</label> <span>IP20</span></div><div><label>Размеры :</label> <span> <span class=""width"">60cm</span><br /> <span class=""deep"">7cm</span><br /> </span></div></div>";946;757;899;;0;0;0;1;0;;00.00.0000;;"Бра настенные;Настенные светильники";"Бра и подсветки";;;;;;;;;;;;;;;60;;60;7;;;1;;;IP20;;"Straihgt Silver";;Металл;Металл;"2-4 недели";"Nowodvorski (Польша)"
Nowodvorski_5131;"Внутреннее освещение/Бра и подсветки;Наружное освещение/Бра";"Nowodvorski 5131 Straihgt Graphite";"<div class=""nowodvorski-product-detail""><div><label>Номер в каталоге:</label> <span>5131</span></div><div><label>Источник света:</label> <span>T5</span></div><div><label>Количество источников света:</label> <span>1</span></div><div><label>Мощность:</label> <span>39W</span></div><div><label>Источник света:</label> <span>содержит</span></div><div><label>Степень защиты:</label> <span>IP20</span></div><div><label>Размеры :</label> <span> <span class=""width"">90cm</span><br /> <span class=""deep"">7cm</span><br /> </span></div></div>";1155;924;1097;;0;0;0;1;45;;00.00.0000;;"Бра настенные;Настенные светильники";"Бра и подсветки";;;;;;;;;;;;;;;90;;90;7;;;1;;;IP20;;"Straihgt Graphite";;Металл;Металл;"2-4 недели";"Nowodvorski (Польша)"
Nowodvorski_5132;"Внутреннее освещение/Бра и подсветки;Наружное освещение/Бра";"Nowodvorski 5132 Straihgt White";"<div class=""nowodvorski-product-detail""><div><label>Номер в каталоге:</label> <span>5132</span></div><div><label>Источник света:</label> <span>T5</span></div><div><label>Количество источников света:</label> <span>1</span></div><div><label>Мощность:</label> <span>39W</span></div><div><label>Источник света:</label> <span>содержит</span></div><div><label>Степень защиты:</label> <span>IP20</span></div><div><label>Размеры :</label> <span> <span class=""width"">90cm</span><br /> <span class=""deep"">7cm</span><br /> </span></div></div>";1155;924;1097;;0;0;0;1;0;;00.00.0000;;"Бра настенные;Настенные светильники";"Бра и подсветки";;;;;;;;;;;;;;;90;;90;7;;;1;;;IP20;;"Straihgt White";;Металл;Металл;"2-4 недели";"Nowodvorski (Польша)"
Nowodvorski_5165;"Внутреннее освещение/Бра и подсветки;Наружное освещение/Бра";"Nowodvorski 5165 Vogar Violet";"<div class=""nowodvorski-product-detail""><div><label>Номер в каталоге:</label> <span>5165</span></div><div><label>Источник света:</label> <span>E27</span></div><div><label>Количество источников света:</label> <span>1</span></div><div><label>Мощность:</label> <span>60W</span></div><div><label>Источник света:</label> <span>не содержит</span></div><div><label>Степень защиты:</label> <span>IP20</span></div><div><label>Размеры :</label> <span> <span class=""height"">28cm</span><br /> <span class=""deep"">23cm</span><br /> </span></div></div>";937;749;937;;0;0;0;1;0;;00.00.0000;;"Бра настенные;Настенные светильники";"Бра и подсветки";;;;;;;;;;;;;;28;;;;23;;;1;;;IP20;;"Vogar Violet";;Ткань;;"2-4 недели";"Nowodvorski (Польша)"
Nowodvorski_5171;"Внутреннее освещение/Бра и подсветки;Наружное освещение/Бра";"Nowodvorski 5171 Vogar Wenge";"<div class=""nowodvorski-product-detail""><div><label>Номер в каталоге:</label> <span>5171</span></div><div><label>Источник света:</label> <span>E27</span></div><div><label>Количество источников света:</label> <span>1</span></div><div><label>Мощность:</label> <span>60W</span></div><div><label>Источник света:</label> <span>не содержит</span></div><div><label>Степень защиты:</label> <span>IP20</span></div><div><label>Размеры :</label> <span> <span class=""height"">28cm</span><br /> <span class=""deep"">23cm</span><br /> </span></div></div>";937;749;890;;0;0;0;1;45;;00.00.0000;;"Бра настенные;Настенные светильники";"Бра и подсветки";;;;;;;;;;;;;;28;;;;23;;;1;;;IP20;;"Vogar Wenge";;Ткань;;"2-4 недели";"Nowodvorski (Польша)"
Nowodvorski_5175;"Внутреннее освещение/Бра и подсветки;Наружное освещение/Бра";"Nowodvorski 5175 Ascot";"<div class=""nowodvorski-product-detail""><div><label>Номер в каталоге:</label> <span>5175</span></div><div><label>Источник света:</label> <span>E27</span></div><div><label>Количество источников света:</label> <span>1</span></div><div><label>Мощность:</label> <span>60W</span></div><div><label>Источник света:</label> <span>не содержит</span></div><div><label>Степень защиты:</label> <span>IP20</span></div><div><label>Размеры :</label> <span> <span class=""height"">28cm</span><br /> <span class=""deep"">23cm</span><br /> </span></div></div>";892;713;847;12%ipN;0;0;0;1;0;;00.00.0000;;"Бра настенные;Настенные светильники";"Бра и подсветки";;;;;;;;;;;;;;28;;;;23;;;1;;;IP20;;Ascot;;Ткань;;"2-4 недели";"Nowodvorski (Польша)"
