id;name;name_seo;supplier;available;avail_text;recom
4300;Eglo 92439 My Choice;Eglo 92439 My Choice;Поставщик;0;Нет в наличии;0
4301;Eglo 92441 My Choice;Eglo 92441 My Choice;Поставщик;0;Нет в наличии;0
4302;Eglo 92442 My Choice;Eglo 92442 My Choice;Поставщик;0;Нет в наличии;0
4303;Eglo 92443 My Choice;Eglo 92443 My Choice;Поставщик;0;Нет в наличии;0
4304;Eglo 92444 My Choice;Eglo 92444 My Choice;Test1;0;Нет в наличии;0
4305;Eglo 92445 My Choice;Eglo 92445 My Choice;Test1;0;Нет в наличии;0
4306;Eglo 92446 My Choice;Eglo 92446 My Choice;Test1;0;Нет в наличии;0
4500;Eglo 92866 My Choice;Eglo 92866 My Choice;Test1;0;Нет в наличии;0
4501;Eglo 92867 My Choice;Eglo 92867 My Choice;Test1;0;Нет в наличии;0
4502;Eglo 92868 My Choice;Eglo 92868 My Choice;Test1;0;Нет в наличии;0
4503;Eglo 92871 My Choice;Eglo 92871 My Choice;Test1;0;Нет в наличии;0
7002;Nowodvorski 4948 Abazur;Nowodvorski 4948 Abazur;Test1;0;Нет в наличии;0
2096;Eglo 49402 Vintage;Eglo 49402 Vintage;Test1;0;Нет в наличии;1
