id;articul;category_path;name;txt;price;price_min;price_max;discount_formula;hide;recom;flag;to_xml;installation;gift_articul;gift_end_date;admin;p_tip;p_vid;p_svetovoj_potok;p_sila_toka;p_visota_plafona;p_srok_garantii;p_forma;p_koefficient_moschnosti;p_srok_sluzhbi;p_tip_rasseivatelya;p_ugol_osvescheniya;p_ekvivalentnaya_moschnost;p_cvet_plafona;p_cvet_osnovi;p_geometriya;p_visota;p_shirina;p_diametr;p_dlina;p_glubina;p_glubina_vrezki;p_diametr_vrezki;p_kolichestvo_lamp;p_moschnost_odnoj_lampi;p_tip_cokolya;p_stepen_vlagozaschiti;p_komplektnost_lampi;p_seriya;p_cvetovaya_temperatura;p_material_plafona;p_material_osnovi;p_srok_dostavki;p_proizvoditel
6591;Nowodvorski_4298;"Внутреннее освещение/Люстры";"Nowodvorski 4298 Brava";"<div class=""nowodvorski-product-detail""><div><label>Номер в каталоге:</label> <span>4298</span></div><div><label>Источник света:</label> <span>E14</span></div><div><label>Количество источников света:</label> <span>3</span></div><div><label>Мощность:</label> <span>60W</span></div><div><label>Источник света:</label> <span>не содержит</span></div><div><label>Степень защиты:</label> <span>IP20</span></div><div><label>Размеры :</label> <span> <span class=""width"">66cm</span><br /> <span class=""height"">65cm</span><br /> </span></div></div>";2419;1935;2298;;0;0;0;0;45;;00.00.0000;;"Подвесные;Современные";Люстры;;;;;;;;;;;;;;65;66;;;;;;3;;;IP20;;Brava;;Стекло;Металл;"2-4 недели";"Nowodvorski (Польша)"
6592;Nowodvorski_4300;"Внутреннее освещение/Люстры";"Nowodvorski 4300 Brava";"<div class=""nowodvorski-product-detail""><div><label>Номер в каталоге:</label> <span>4300</span></div><div><label>Источник света:</label> <span>E14</span></div><div><label>Количество источников света:</label> <span>4</span></div><div><label>Мощность:</label> <span>60W</span></div><div><label>Источник света:</label> <span>не содержит</span></div><div><label>Степень защиты:</label> <span>IP20</span></div><div><label>Размеры :</label> <span> <span class=""width"">91cm</span><br /> <span class=""height"">65cm</span><br /> </span></div></div>";2902;2321;2756;;0;0;0;0;45;;00.00.0000;;"Подвесные;Современные";Люстры;;;;;;;;;;;;;;65;91;;;;;;4;;;IP20;;Brava;;Стекло;Металл;"2-4 недели";"Nowodvorski (Польша)"
6604;Nowodvorski_4348;"Внутреннее освещение/Люстры";"Nowodvorski 4348 Ksanti";"<div class=""nowodvorski-product-detail""><div><label>Номер в каталоге:</label> <span>4348</span></div><div><label>Источник света:</label> <span>E14</span></div><div><label>Количество источников света:</label> <span>6</span></div><div><label>Мощность:</label> <span>40W</span></div><div><label>Источник света:</label> <span>не содержит</span></div><div><label>Степень защиты:</label> <span>IP20</span></div><div><label>Размеры :</label> <span> <span class=""width"">94cm</span><br /> <span class=""height"">55-82cm</span><br /> </span></div></div>";3629;2903;3447;;0;0;0;0;0;Nowodvorski_6895;20.11.2001;;"Подвесные;Современные";Люстры;;;;;;;;;;;;;;82;;;84;;;;6;;;IP20;;Ksanti;;Металл;Металл;"2-4 недели";"Nowodvorski (Польша)"
6605;Nowodvorski_4350;"Внутреннее освещение/Люстры";"Nowodvorski 4350 Ksanti";"<div class=""nowodvorski-product-detail""><div><label>Номер в каталоге:</label> <span>4350</span></div><div><label>Источник света:</label> <span>E14</span></div><div><label>Количество источников света:</label> <span>3</span></div><div><label>Мощность:</label> <span>40W</span></div><div><label>Источник света:</label> <span>не содержит</span></div><div><label>Степень защиты:</label> <span>IP20</span></div><div><label>Размеры :</label> <span> <span class=""width"">68cm</span><br /> <span class=""height"">50-76cm</span><br /> </span></div></div>";2174;1739;2174;7%N;0;0;0;0;45;;00.00.0000;;"Подвесные;Современные";Люстры;;;;;;;;;;;;;;76;;;68;;;;3;;;IP20;;Ksanti;;Металл;Металл;"2-4 недели";"Nowodvorski (Польша)"
6606;Nowodvorski_4351;"Внутреннее освещение/Люстры";"Nowodvorski 4351 Ksanti";"<div class=""nowodvorski-product-detail""><div><label>Номер в каталоге:</label> <span>4351</span></div><div><label>Источник света:</label> <span>E14</span></div><div><label>Количество источников света:</label> <span>4</span></div><div><label>Мощность:</label> <span>40W</span></div><div><label>Источник света:</label> <span>не содержит</span></div><div><label>Степень защиты:</label> <span>IP20</span></div><div><label>Размеры :</label> <span> <span class=""width"">84cm</span><br /> <span class=""height"">50-76cm</span><br /> </span></div></div>";2610;2088;2479;125N;0;0;0;0;45;;00.00.0000;;"Подвесные;Современные";Люстры;;;;;;;;;;;;;;76;;;94;;;;4;;;IP20;;Ksanti;;Металл;Металл;"2-4 недели";"Nowodvorski (Польша)"
6608;Nowodvorski_4353;"Внутреннее освещение/Люстры";"Nowodvorski 4353 Olimpia";"<div class=""nowodvorski-product-detail""><div><label>Номер в каталоге:</label> <span>4353</span></div><div><label>Источник света:</label> <span>E27</span></div><div><label>Количество источников света:</label> <span>3</span></div><div><label>Мощность:</label> <span>60W</span></div><div><label>Источник света:</label> <span>не содержит</span></div><div><label>Степень защиты:</label> <span>IP20</span></div><div><label>Размеры :</label> <span> <span class=""height"">63cm</span><br /> <span class=""fi"">53cm</span><br /> </span></div></div>";2393;1914;2273;85;0;0;0;0;45;Nowodvorski_6895;20.11.2001;;"Классические;Подвесные";Люстры;;;;;;;;;;;;;;63;;53;;;;;3;;;IP20;;Olimpia;;Стекло;Металл;"2-4 недели";"Nowodvorski (Польша)"
6609;Nowodvorski_4354;"Внутреннее освещение/Люстры";"Nowodvorski 4354 Olimpia";"<div class=""nowodvorski-product-detail""><div><label>Номер в каталоге:</label> <span>4354</span></div><div><label>Источник света:</label> <span>E27</span></div><div><label>Количество источников света:</label> <span>5</span></div><div><label>Мощность:</label> <span>60W</span></div><div><label>Источник света:</label> <span>не содержит</span></div><div><label>Степень защиты:</label> <span>IP20</span></div><div><label>Размеры :</label> <span> <span class=""height"">63cm</span><br /> <span class=""fi"">60cm</span><br /> </span></div></div>";3148;2518;3148;6%;0;0;0;0;0;;00.00.0000;;"Классические;Подвесные";Люстры;;;;;;;;;;;;;;63;;60;;;;;5;;;IP20;;Olimpia;;Стекло;Металл;"2-4 недели";"Nowodvorski (Польша)"
6610;Nowodvorski_4355;"Внутреннее освещение/Люстры";"Nowodvorski 4355 Olimpia";"<div class=""nowodvorski-product-detail""><div><label>Номер в каталоге:</label> <span>4355</span></div><div><label>Источник света:</label> <span>E27</span></div><div><label>Количество источников света:</label> <span>9</span></div><div><label>Мощность:</label> <span>60W</span></div><div><label>Источник света:</label> <span>не содержит</span></div><div><label>Степень защиты:</label> <span>IP20</span></div><div><label>Размеры :</label> <span> <span class=""height"">83cm</span><br /> <span class=""fi"">80cm</span><br /> </span></div></div>";4732;3785;4495;1%N;0;0;0;0;0;;00.00.0000;;"Классические;Подвесные";Люстры;;;;;;;;;;;;;;83;;80;;;;;9;;;IP20;;Olimpia;;Стекло;Металл;"2-4 недели";"Nowodvorski (Польша)"
6617;Nowodvorski_4397;"Внутреннее освещение/Люстры";"Nowodvorski 4397 Attyka";"<div class=""nowodvorski-product-detail""><div><label>Номер в каталоге:</label> <span>4397</span></div><div><label>Источник света:</label> <span>E27</span></div><div><label>Количество источников света:</label> <span>3</span></div><div><label>Мощность:</label> <span>60W</span></div><div><label>Источник света:</label> <span>не содержит</span></div><div><label>Степень защиты:</label> <span>IP20</span></div><div><label>Размеры :</label> <span> <span class=""height"">45cm</span><br /> <span class=""fi"">41cm</span><br /> </span></div></div>";1547;1237;1469;9ip;0;0;0;0;45;;00.00.0000;;Классические;Люстры;;;;;;;;;;;;;;45;;41;;;;;3;;;IP20;;Attyka;;Стекло;;"2-4 недели";"Nowodvorski (Польша)"
6679;Nowodvorski_4475;"Внутреннее освещение/Люстры";"Nowodvorski 4475 Sari";"<div class=""nowodvorski-product-detail""><div><label>Номер в каталоге:</label> <span>4475</span></div><div><label>Источник света:</label> <span>E27</span></div><div><label>Количество источников света:</label> <span>2</span></div><div><label>Мощность:</label> <span>60W</span></div><div><label>Источник света:</label> <span>не содержит</span></div><div><label>Степень защиты:</label> <span>IP20</span></div><div><label>Размеры :</label> <span> <span class=""width"">46cm</span><br /> <span class=""height"">85cm</span><br /> </span></div></div>";1547;1237;1547;70N;0;0;0;0;0;;00.00.0000;;"Подвесные;Современные";Люстры;;;;;;;;;;;;;;85;46;;46;;;;2;;;IP20;;Sari;;Стекло;;"2-4 недели";"Nowodvorski (Польша)"
