id;articul;name_alt;price;price_max;available
3004;Eglo_88754;"Eglo 88754 Cuba";245;245;0
3005;Eglo_88755;"Eglo 88755 Cuba";366;348;0
3195;Eglo_89389;"Eglo 89389 Cuba";325;309;0
3475;Eglo_90248;"Eglo 90248 My Choice";189;189;0
3476;Eglo_90249;"Eglo 90249 My Choice";218;218;0
3477;Eglo_90252;"Eglo 90252 My Choice";179;170;0
3478;Eglo_90254;"Eglo 90254 My Choice";198;198;0
3479;Eglo_90256;"Eglo 90256 My Choice";156;156;0
3480;Eglo_90257;"Eglo 90257 My Choice";198;188;0
3481;Eglo_90259;"Eglo 90259 My Choice";160;152;0
3482;Eglo_90261;"Eglo 90261 My Choice";189;180;0
3483;Eglo_90263;"Eglo 90263 My Choice";173;164;0
3484;Eglo_90264;"Eglo 90264 My Choice";256;256;0
3485;Eglo_90265;"Eglo 90265 My Choice";218;207;0
3486;Eglo_90266;"Eglo 90266 My Choice";160;152;0
3487;Eglo_90267;"Eglo 90267 My Choice";174;165;0
3488;Eglo_90268;"Eglo 90268 My Choice";174;165;0
3836;Eglo_91317;"Eglo 91317 My Choice";196;187;0
4269;Eglo_92404;"Eglo 92404 My Choice";433;412;0
4270;Eglo_92405;"Eglo 92405 My Choice";451;428;0
4271;Eglo_92406;"Eglo 92406 My Choice";538;511;0
4272;Eglo_92407;"Eglo 92407 My Choice";320;304;0
4273;Eglo_92408;"Eglo 92408 My Choice";318;302;0
4274;Eglo_92409;"Eglo 92409 My Choice";320;304;0
4275;Eglo_92411;"Eglo 92411 My Choice";320;320;0
4276;Eglo_92412;"Eglo 92412 My Choice";320;320;0
4277;Eglo_92413;"Eglo 92413 My Choice";320;304;0
4278;Eglo_92414;"Eglo 92414 My Choice";320;320;0
4279;Eglo_92415;"Eglo 92415 My Choice";320;304;0
4280;Eglo_92416;"Eglo 92416 My Choice";344;326;0
4281;Eglo_92417;"Eglo 92417 My Choice";344;344;0
4282;Eglo_92418;"Eglo 92418 My Choice";344;344;0
4283;Eglo_92419;"Eglo 92419 My Choice";344;344;0
4284;Eglo_92421;"Eglo 92421 My Choice";365;365;0
4285;Eglo_92422;"Eglo 92422 My Choice";365;347;0
4286;Eglo_92423;"Eglo 92423 My Choice";365;347;0
4287;Eglo_92424;"Eglo 92424 My Choice";365;347;0
4288;Eglo_92425;"Eglo 92425 My Choice";365;365;0
4289;Eglo_92426;"Eglo 92426 My Choice";365;365;0
4290;Eglo_92427;"Eglo 92427 My Choice";365;365;0
4291;Eglo_92428;"Eglo 92428 My Choice";365;347;0
4292;Eglo_92429;"Eglo 92429 My Choice";381;381;0
4293;Eglo_92431;"Eglo 92431 My Choice";381;381;0
4294;Eglo_92432;"Eglo 92432 My Choice";381;381;0
4295;Eglo_92433;"Eglo 92433 My Choice";381;362;0
4296;Eglo_92434;"Eglo 92434 My Choice";401;381;0
4297;Eglo_92435;"Eglo 92435 My Choice";401;401;0
4298;Eglo_92436;"Eglo 92436 My Choice";401;381;0
4299;Eglo_92438;"Eglo 92438 My Choice";401;401;0
4300;Eglo_92439;"Eglo 92439 My Choice";401;381;0
4301;Eglo_92441;"Eglo 92441 My Choice";401;381;0
4302;Eglo_92442;"Eglo 92442 My Choice";401;401;0
4303;Eglo_92443;"Eglo 92443 My Choice";429;429;0
4304;Eglo_92444;"Eglo 92444 My Choice";429;407;0
4305;Eglo_92445;"Eglo 92445 My Choice";429;429;0
4306;Eglo_92446;"Eglo 92446 My Choice";429;407;0
4500;Eglo_92866;"Eglo 92866 My Choice";464;441;0
4501;Eglo_92867;"Eglo 92867 My Choice";407;387;0
4502;Eglo_92868;"Eglo 92868 My Choice";236;236;0
4503;Eglo_92871;"Eglo 92871 My Choice";156;156;0
7002;Nowodvorski_4948;"Nowodvorski 4948 Abazur";236;224;0
2096;Eglo_49402;"Eglo 49402 Vintage";181;181;0
