articul;category_path;name;txt;price;price_min;price_max;discount_formula;installation;gift_articul;gift_end_date;p_tip;p_vid;p_svetovoj_potok;p_sila_toka;p_visota_plafona;p_srok_garantii;p_forma;p_koefficient_moschnosti;p_srok_sluzhbi;p_tip_rasseivatelya;p_ugol_osvescheniya;p_ekvivalentnaya_moschnost;p_cvet_plafona;p_cvet_osnovi;p_geometriya;p_visota;p_shirina;p_diametr;p_dlina;p_glubina;p_glubina_vrezki;p_diametr_vrezki;p_kolichestvo_lamp;p_moschnost_odnoj_lampi;p_tip_cokolya;p_stepen_vlagozaschiti;p_komplektnost_lampi;p_seriya;p_cvetovaya_temperatura;p_material_plafona;p_material_osnovi;p_srok_dostavki;p_proizvoditel
Alfa_12295;"Внутреннее освещение/Люстры";"Alfa 12295 Satellite";"<p>Диаметр: 550 mm<br /> Высота: 550 mm<br /> 6 x G4 max 20W</p>";10361,7;8289,36;10361,7;1%N;45;Nowodvorski_6895;;Хрустальные;Люстры;;;;;;;;;;;;;;55;;55;55;;;;6;;;IP20;;Satellite;;;Металл;"4-6 недели";"Alfa (Польша)"
Alfa_12313;"Внутреннее освещение/Люстры";"Alfa 12313 Cox";"<p>Диаметр: 450 mm<br /> Высота: 350 mm<br /> 3 x E27 max 60W</p>";1439,42;1151,54;1439,42;9%N;45;;;"Потолочные;Современные";Люстры;;;;;;;;;;;;;;35;;;45;;;;3;;;IP20;;Cox;;Стекло;;"4-6 недели";"Alfa (Польша)"
Alfa_12314;"Внутреннее освещение/Люстры";"Alfa 12314 Cox";"<p>Диаметр: 250 mm<br /> Высота: 395 mm<br /> 4 x E27 max 60W</p>";1735,78;1388,62;1735,78;;;Nowodvorski_6895;;"Потолочные;Современные";Люстры;;;;;;;;;;;;;;39,5;25;;25;;;;4;;;IP20;;Cox;;Стекло;;"4-6 недели";"Alfa (Польша)"
Alfa_12582;"Внутреннее освещение/Люстры";"Alfa 12582 Neva nikiel";"<p>Диаметр: 670 mm<br /> Высота: 885 mm<br /> 2 x E27 max 60W</p>";2222,64;1778,11;2222,64;3%ipN;45;Nowodvorski_6895;2016-11-01;"Подвесные;Современные";Люстры;;;;;;;;;;;;;;88,5;;;67;;;;2;;;IP20;;"Neva nikiel";;Стекло;Металл;"4-6 недели";"Alfa (Польша)"
Alfa_12585;"Внутреннее освещение/Люстры";"Alfa 12585 Neva nikiel";"<p>Диаметр: 490 mm<br /> Высота: 120 mm<br /> 2 x E27 max 60W</p>";2095,63;1676,5;2095,63;84N;;Nowodvorski_6895;;"Потолочные;Современные";Люстры;;;;;;;;;;;;;;12;;;49;;;;2;;;IP20;;"Neva nikiel";;Стекло;Металл;"4-6 недели";"Alfa (Польша)"
Alfa_12693;"Внутреннее освещение/Люстры";"Alfa 12693 Nero";"<p>Диаметр: 560 mm<br /> Высота: 730 mm<br /> 3 x E14 max 40W</p>";1862,78;1490,22;1769,64;7;45;;;"Подвесные;Свечи";Люстры;;;;;;;;;;;;;;73;;56;56;;;;3;;;IP20;;Nero;;;;"4-6 недели";"Alfa (Польша)"
Alfa_12695;"Внутреннее освещение/Люстры";"Alfa 12695 Nero";"<p>Диаметр: 560 mm<br /> Высота: 730 mm<br /> 5 x E14 max 40W</p>";2487,24;1989,79;2362,88;5%;45;;;"Подвесные;Свечи";Люстры;;;;;;;;;;;;;;73;;56;56;;;;5;;;IP20;;Nero;;;;"4-6 недели";"Alfa (Польша)"
Alfa_127;"Внутреннее освещение/Люстры";"Alfa 127 Babunia";"<p>Диаметр: 350 mm<br /> Высота: 820 mm<br /> 1 x E27 max 60W</p>";2487,24;1989,79;2487,24;1%;45;Nowodvorski_6895;;"Классические;Подвесные";Люстры;;;;;;;;;;;;;;82;;35;35;;;;1;;;IP20;;Babunia;;Стекло;;"4-6 недели";"Alfa (Польша)"
Alfa_12723;"Внутреннее освещение/Люстры";"Alfa 12723 Classico";"<p>Диаметр: 760 mm<br /> Высота: 750 mm<br /> 3 x E27 max 60W</p>";2868,26;2294,61;2724,85;100N;;;;"Классические;Подвесные";Люстры;;;;;;;;;;;;;;75;;76;76;;;;3;;;IP20;;Classico;;Стекло;Металл;"4-6 недели";"Alfa (Польша)"
Alfa_12725;"Внутреннее освещение/Люстры";"Alfa 12725 Classico";"<p>Диаметр: 760 mm<br /> Высота: 750 mm<br /> 5 x E27 max 60W</p>";3736,15;2988,92;3549,34;;45;;;"Классические;Подвесные";Люстры;;;;;;;;;;;;;;75;;76;76;;;;5;;;IP20;;Classico;;Стекло;Металл;"4-6 недели";"Alfa (Польша)"
